interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed
as2border2:GigabitEthernet1/0, complete,6, heimdall_intersect2, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, complete,6, heimdall_intersect3, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, complete,6, heimdall_intersect4, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, complete,6, neighbor, 5, 0, 28, 49,5
as2border2:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, random-2,2, crystal-net, 7, 1, 38, 53,7
as2border2:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0
as2border2:GigabitEthernet1/0, random-2,2, heimdall, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, random-2,2, heimdall_interface, 33, 0, 32, 50,32
as2border2:GigabitEthernet1/0, random-2,2, heimdall_intersect, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, random-2,2, neighbor, 3, 0, 17, 38,3
as2border2:GigabitEthernet2/0, complete,14, base, 13, 1, 65, 58,13
as2border2:GigabitEthernet2/0, complete,14, crystal-net, 11, 1, 57, 56,11
as2border2:GigabitEthernet2/0, complete,14, empty, 0, 0, 0, 0,0
as2border2:GigabitEthernet2/0, complete,14, heimdall, 13, 1, 65, 58,13
as2border2:GigabitEthernet2/0, complete,14, heimdall_end_nodes, 13, 1, 65, 58,13
